primary_sponsor_std,total_approvals,total_rd_spend,approvals_per_bn_rd
Vertex Pharmaceuticals,28.0,21.45,1.305
Regeneron,24.0,31.91,0.752
Novo Nordisk,30.0,71.83,0.418
Amgen,31.0,104.28999999999999,0.297
Eli Lilly,25.0,92.56,0.27
Bristol-Myers Squibb,26.0,96.43,0.27
Takeda,18.0,69.82000000000001,0.258
GSK,23.0,89.72,0.256
Gilead Sciences,26.0,103.73,0.251
AstraZeneca,26.0,106.84,0.243
Bayer,20.0,99.6,0.201
Sanofi,23.0,114.87,0.2
AbbVie,19.0,103.56,0.183
Novartis,27.0,154.14000000000001,0.175
Johnson & Johnson,28.0,162.15,0.173
Merck,26.0,153.14,0.17
Roche,23.0,177.21,0.13
Pfizer,21.0,184.29,0.114
Biogen,3.0,43.55,0.069
Moderna,1.0,14.940000000000001,0.067
Daiichi Sankyo,1.0,32.12,0.031
Boehringer Ingelheim,1.0,67.96,0.015
Danaher,0.0,36.58,0.0
BioNTech,0.0,12.41,0.0
Abbott Laboratories,0.0,67.73,0.0
Medtronic,0.0,37.79,0.0
Hengrui Medicine,0.0,7.3100000000000005,0.0
Stryker,0.0,19.77,0.0
Sun Pharma,0.0,4.61,0.0
Teva,0.0,17.55,0.0
