year,therapy_area,global_dalys_millions_corrected,approvals
2010,cardiovascular,474.5,2.0
2010,gastrointestinal,137.2,1.0
2010,infectious,226.60000000000002,0.0
2010,metabolic,60.6,0.0
2010,neurology,242.0,5.0
2010,oncology,217.7,10.0
2010,psychiatry,184.3,1.0
2010,respiratory,226.5,1.0
2011,cardiovascular,472.90000000000003,4.0
2011,gastrointestinal,133.8,0.0
2011,infectious,214.0,0.0
2011,metabolic,62.3,2.0
2011,neurology,238.4,2.0
2011,oncology,225.4,8.0
2011,psychiatry,187.3,2.0
2011,respiratory,220.60000000000002,1.0
2012,cardiovascular,492.2,5.0
2012,gastrointestinal,132.2,1.0
2012,infectious,204.4,3.0
2012,metabolic,66.0,3.0
2012,neurology,250.4,5.0
2012,oncology,228.1,10.0
2012,psychiatry,186.4,3.0
2012,respiratory,215.2,4.0
2013,cardiovascular,490.29999999999995,0.0
2013,gastrointestinal,128.4,0.0
2013,infectious,202.5,2.0
2013,metabolic,71.2,1.0
2013,neurology,251.7,4.0
2013,oncology,235.2,14.0
2013,psychiatry,193.5,0.0
2013,respiratory,217.1,1.0
2014,cardiovascular,501.20000000000005,2.0
2014,gastrointestinal,120.5,1.0
2014,infectious,190.5,2.0
2014,metabolic,72.7,4.0
2014,neurology,264.4,10.0
2014,oncology,234.6,15.0
2014,psychiatry,191.2,0.0
2014,respiratory,213.7,2.0
2015,cardiovascular,501.6,5.0
2015,gastrointestinal,119.5,1.0
2015,infectious,181.89999999999998,4.0
2015,metabolic,75.5,1.0
2015,neurology,267.5,8.0
2015,oncology,239.0,17.0
2015,psychiatry,197.20000000000002,1.0
2015,respiratory,200.3,0.0
2016,cardiovascular,516.1,0.0
2016,gastrointestinal,114.30000000000001,1.0
2016,infectious,175.0,0.0
2016,metabolic,76.7,0.0
2016,neurology,264.8,2.0
2016,oncology,247.3,9.0
2016,psychiatry,197.6,0.0
2016,respiratory,199.6,2.0
2017,cardiovascular,516.3,4.0
2017,gastrointestinal,114.0,1.0
2017,infectious,166.1,3.0
2017,metabolic,76.8,3.0
2017,neurology,272.59999999999997,11.0
2017,oncology,248.9,12.0
2017,psychiatry,196.4,2.0
2017,respiratory,197.1,0.0
2018,cardiovascular,524.3,1.0
2018,gastrointestinal,108.0,3.0
2018,infectious,158.9,7.0
2018,metabolic,79.0,4.0
2018,neurology,287.9,6.0
2018,oncology,246.0,21.0
2018,psychiatry,204.0,1.0
2018,respiratory,196.7,3.0
2019,cardiovascular,532.5,4.0
2019,gastrointestinal,104.5,0.0
2019,infectious,153.8,3.0
2019,metabolic,80.9,3.0
2019,neurology,293.0,4.0
2019,oncology,245.0,20.0
2019,psychiatry,203.1,1.0
2019,respiratory,189.2,2.0
2020,cardiovascular,554.4,3.0
2020,gastrointestinal,105.0,0.0
2020,infectious,250.4,9.0
2020,metabolic,77.1,2.0
2020,neurology,290.09999999999997,7.0
2020,oncology,249.8,27.0
2020,psychiatry,207.4,1.0
2020,respiratory,187.8,0.0
2021,cardiovascular,545.1,4.0
2021,gastrointestinal,103.6,0.0
2021,infectious,320.1,5.0
2021,metabolic,75.2,3.0
2021,neurology,304.20000000000005,2.0
2021,oncology,257.6,25.0
2021,psychiatry,221.0,2.0
2021,respiratory,187.2,1.0
2022,cardiovascular,557.7,2.0
2022,gastrointestinal,100.0,0.0
2022,infectious,255.3,3.0
2022,metabolic,78.6,5.0
2022,neurology,318.6,6.0
2022,oncology,258.5,14.0
2022,psychiatry,221.79999999999998,2.0
2022,respiratory,184.0,0.0
2023,cardiovascular,577.6,3.0
2023,gastrointestinal,97.6,0.0
2023,infectious,191.4,4.0
2023,metabolic,80.8,4.0
2023,neurology,318.0,12.0
2023,oncology,267.4,26.0
2023,psychiatry,227.5,1.0
2023,respiratory,182.2,0.0
2024,cardiovascular,586.2,5.0
2024,gastrointestinal,94.7,0.0
2024,infectious,164.0,4.0
2024,metabolic,86.0,1.0
2024,neurology,324.2,6.0
2024,oncology,265.5,26.0
2024,psychiatry,226.3,2.0
2024,respiratory,183.0,2.0
2025,cardiovascular,590.3,5.0
2025,gastrointestinal,96.30000000000001,0.0
2025,infectious,152.0,8.0
2025,metabolic,90.8,2.0
2025,neurology,335.2,4.0
2025,oncology,278.6,18.0
2025,psychiatry,223.0,1.0
2025,respiratory,180.1,1.0
2026,cardiovascular,596.2,1.0
2026,gastrointestinal,94.4,1.0
2026,infectious,142.0,0.0
2026,metabolic,90.7,1.0
2026,neurology,336.0,0.0
2026,oncology,281.1,4.0
2026,psychiatry,235.20000000000002,0.0
2026,respiratory,182.10000000000002,0.0
