primary_sponsor_std,year,rd_spend_usd_bn,revenue_usd_bn,approvals,approvals_per_bn_rd
Johnson & Johnson,2010,7.46,62.17,0.0,0.0
Johnson & Johnson,2011,7.77,64.74,0.0,0.0
Johnson & Johnson,2012,7.36,61.3,0.0,0.0
Johnson & Johnson,2013,8.03,66.96,0.0,0.0
Johnson & Johnson,2014,8.2,68.37,3.0,0.366
Johnson & Johnson,2015,8.64,71.97,0.0,0.0
Johnson & Johnson,2016,8.89,74.08,0.0,0.0
Johnson & Johnson,2017,9.46,78.87,5.0,0.529
Johnson & Johnson,2018,9.9,82.51,2.0,0.202
Johnson & Johnson,2019,10.12,84.29,3.0,0.296
Johnson & Johnson,2020,9.86,82.14,2.0,0.203
Johnson & Johnson,2021,11.05,92.07,3.0,0.271
Johnson & Johnson,2022,11.24,93.69,1.0,0.089
Johnson & Johnson,2023,10.39,86.57,4.0,0.385
Johnson & Johnson,2024,10.79,89.91,3.0,0.278
Johnson & Johnson,2025,11.76,98.0,2.0,0.17
Johnson & Johnson,2026,11.23,93.55,0.0,0.0
Pfizer,2010,12.43,69.06,0.0,0.0
Pfizer,2011,11.48,63.8,0.0,0.0
Pfizer,2012,10.58,58.77,0.0,0.0
Pfizer,2013,10.39,57.73,0.0,0.0
Pfizer,2014,9.29,51.64,1.0,0.108
Pfizer,2015,8.83,49.07,3.0,0.34
Pfizer,2016,9.32,51.8,1.0,0.107
Pfizer,2017,9.56,53.1,0.0,0.0
Pfizer,2018,9.73,54.07,2.0,0.206
Pfizer,2019,8.23,45.71,1.0,0.122
Pfizer,2020,7.44,41.31,4.0,0.538
Pfizer,2021,14.51,80.63,1.0,0.069
Pfizer,2022,17.59,97.73,2.0,0.114
Pfizer,2023,10.01,55.62,3.0,0.3
Pfizer,2024,11.5,63.91,1.0,0.087
Pfizer,2025,11.82,65.69,2.0,0.169
Pfizer,2026,11.58,64.32,0.0,0.0
Roche,2010,9.51,52.84,0.0,0.0
Roche,2011,8.88,49.34,0.0,0.0
Roche,2012,8.93,49.63,2.0,0.224
Roche,2013,9.18,51.0,1.0,0.109
Roche,2014,8.98,49.9,1.0,0.111
Roche,2015,9.23,51.25,2.0,0.217
Roche,2016,9.57,53.19,0.0,0.0
Roche,2017,9.73,54.04,3.0,0.308
Roche,2018,9.86,54.8,2.0,0.203
Roche,2019,10.55,58.62,2.0,0.19
Roche,2020,11.34,63.0,2.0,0.176
Roche,2021,12.01,66.72,2.0,0.167
Roche,2022,12.21,67.83,1.0,0.082
Roche,2023,11.23,62.36,2.0,0.178
Roche,2024,11.24,62.47,1.0,0.089
Roche,2025,12.3,68.31,2.0,0.163
Roche,2026,12.46,69.21,0.0,0.0
Novartis,2010,9.01,50.06,0.0,0.0
Novartis,2011,8.81,48.97,0.0,0.0
Novartis,2012,8.77,48.71,2.0,0.228
Novartis,2013,9.21,51.15,1.0,0.109
Novartis,2014,9.05,50.29,3.0,0.331
Novartis,2015,8.73,48.53,1.0,0.115
Novartis,2016,9.06,50.34,1.0,0.11
Novartis,2017,9.26,51.42,4.0,0.432
Novartis,2018,9.8,54.45,1.0,0.102
Novartis,2019,8.78,48.78,3.0,0.342
Novartis,2020,8.82,49.02,2.0,0.227
Novartis,2021,9.15,50.86,2.0,0.219
Novartis,2022,9.5,52.77,0.0,0.0
Novartis,2023,8.37,46.5,2.0,0.239
Novartis,2024,8.95,49.72,1.0,0.112
Novartis,2025,9.57,53.15,4.0,0.418
Novartis,2026,9.3,51.67,0.0,0.0
Merck,2010,8.34,46.33,0.0,0.0
Merck,2011,8.53,47.37,2.0,0.234
Merck,2012,7.9,43.88,0.0,0.0
Merck,2013,7.1,39.45,2.0,0.282
Merck,2014,7.16,39.8,2.0,0.279
Merck,2015,6.98,38.78,2.0,0.287
Merck,2016,7.51,41.75,1.0,0.133
Merck,2017,7.41,41.17,1.0,0.135
Merck,2018,7.24,40.23,1.0,0.138
Merck,2019,8.1,45.03,1.0,0.123
Merck,2020,8.66,48.09,2.0,0.231
Merck,2021,9.5,52.8,2.0,0.211
Merck,2022,10.37,57.61,3.0,0.289
Merck,2023,11.53,64.06,4.0,0.347
Merck,2024,11.85,65.84,1.0,0.084
Merck,2025,12.42,69.0,2.0,0.161
Merck,2026,12.54,69.67,0.0,0.0
AbbVie,2013,3.32,18.43,2.0,0.602
AbbVie,2014,3.7,20.57,1.0,0.27
AbbVie,2015,3.97,22.04,2.0,0.504
AbbVie,2016,4.94,27.47,0.0,0.0
AbbVie,2017,5.29,29.4,1.0,0.189
AbbVie,2018,6.14,34.11,2.0,0.326
AbbVie,2019,6.99,38.82,2.0,0.286
AbbVie,2020,8.35,46.39,3.0,0.359
AbbVie,2021,9.39,52.19,2.0,0.213
AbbVie,2022,10.02,55.67,1.0,0.1
AbbVie,2023,10.29,57.18,1.0,0.097
AbbVie,2024,10.02,55.66,1.0,0.1
AbbVie,2025,10.13,56.25,1.0,0.099
AbbVie,2026,11.01,61.17,0.0,0.0
Sanofi,2010,5.83,32.4,0.0,0.0
Sanofi,2011,6.06,33.68,1.0,0.165
Sanofi,2012,6.19,34.37,2.0,0.323
Sanofi,2013,5.96,33.12,1.0,0.168
Sanofi,2014,6.35,35.26,0.0,0.0
Sanofi,2015,6.5,36.14,2.0,0.308
Sanofi,2016,6.74,37.45,0.0,0.0
Sanofi,2017,6.44,35.8,1.0,0.155
Sanofi,2018,6.26,34.76,2.0,0.319
Sanofi,2019,6.5,36.13,1.0,0.154
Sanofi,2020,6.45,35.83,1.0,0.155
Sanofi,2021,7.05,39.19,1.0,0.142
Sanofi,2022,7.76,43.13,3.0,0.387
Sanofi,2023,7.78,43.22,0.0,0.0
Sanofi,2024,7.96,44.22,5.0,0.628
Sanofi,2025,7.46,41.43,2.0,0.268
Sanofi,2026,7.58,42.11,1.0,0.132
GSK,2010,5.16,28.67,3.0,0.581
GSK,2011,4.84,26.91,0.0,0.0
GSK,2012,4.49,24.94,3.0,0.668
GSK,2013,4.48,24.89,1.0,0.223
GSK,2014,4.35,24.16,2.0,0.46
GSK,2015,4.08,22.67,1.0,0.245
GSK,2016,5.03,27.93,1.0,0.199
GSK,2017,4.96,27.58,2.0,0.403
GSK,2018,6.05,33.6,2.0,0.331
GSK,2019,5.78,32.09,2.0,0.346
GSK,2020,6.46,35.92,1.0,0.155
GSK,2021,5.66,31.47,2.0,0.353
GSK,2022,5.34,29.68,2.0,0.375
GSK,2023,5.43,30.18,1.0,0.184
