disease,total_burden,total_approvals,unmet_need_index
Neonatal disorders,2733.9,0.0,5467.8
Stroke,2450.7000000000003,0.0,4901.4
Lower respiratory infections,1623.4,0.0,3246.8
Road injuries,1254.0,0.0,2508.0
Malaria,1127.8,0.0,2255.6
HIV/AIDS,967.2,0.0,1934.4
Liver disease,777.5,0.0,1555.0
Kidney disease,667.7,0.0,1335.4
Self-harm,628.9,0.0,1257.8
COVID-19,473.2,0.0,946.4
Maternal disorders,449.0,0.0,898.0
Cardiovascular disease,6578.7,50.0,131.6
Diarrheal diseases,1126.5,10.0,112.6
Chronic respiratory,1739.0,20.0,87.0
Neurological disorders,4391.6,68.0,64.6
Diabetes,1300.9,39.0,33.4
Mental disorders,2874.3,86.0,33.4
Cancer,4225.7,276.0,15.3
Tuberculosis,780.7,57.0,13.7
Alzheimer's & dementias,467.4,94.0,5.0
